"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22529","jsonData","chromium","Tue Jul 08 14:42:24 CET 2025","passed","Tue Jul 08 14:42:47 CET 2025","","jsonDataParameter.spec.ts","",""
"","6632","uploadFile","chromium","Tue Jul 08 10:47:52 CET 2025","passed","Tue Jul 08 10:47:58 CET 2025","","uploadFile.spec.ts","",""
"","30622","uploadFile","chromium","Tue Jul 08 10:43:18 CET 2025","broken","Tue Jul 08 10:43:48 CET 2025","","uploadMultipleFile.spec.ts","",""
"","4346","Formulaire rempli pour login","chromium","Fri Jul 11 12:56:29 CET 2025","failed","Fri Jul 11 12:56:33 CET 2025","","importCSV-Data.spec.ts","",""
"","30051","Formulaire rempli pour undefined","chromium","Fri Jul 11 14:35:55 CET 2025","broken","Fri Jul 11 14:36:25 CET 2025","Remplissage via CSV externe","importCSV-Data.spec.ts","",""
"","30061","uploadFile","firefox","Tue Jul 08 10:47:52 CET 2025","broken","Tue Jul 08 10:48:22 CET 2025","","uploadFile.spec.ts","",""
"","9578","Formulaire rempli pour undefined","firefox","Fri Jul 11 14:35:55 CET 2025","passed","Fri Jul 11 14:36:04 CET 2025","Remplissage via CSV externe","importCSV-Data.spec.ts","",""
"","4811","Formulaire rempli pour undefined","chromium","Fri Jul 11 13:04:55 CET 2025","failed","Fri Jul 11 13:05:00 CET 2025","","importCSV-Data.spec.ts","",""
